emailId,subject,sender,label
email-1,Monthly Report,admin@company.com,legitimate
email-2,Salary Payment Notification,hr@company.com,legitimate
email-3,Order Delivered,sales@shop.com,legitimate
email-4,Salary Payment Notification,hr@company.com,legitimate
email-5,Team Meeting Reminder,manager@company.com,legitimate
email-6,Account suspended alert,support@bank-secure.com,phishing
email-7,Monthly Report,admin@company.com,legitimate
email-8,Monthly Report,admin@company.com,legitimate
email-9,BVN Update Required,noreply@fakebank.com,phishing
email-10,Order Delivered,sales@shop.com,legitimate
email-11,Password Expiry Notice,it-support@securemail.com,phishing
email-12,Account suspended alert,support@bank-secure.com,phishing
email-13,Salary Payment Notification,hr@company.com,legitimate
email-14,Monthly Report,admin@company.com,legitimate
email-15,Password Expiry Notice,it-support@securemail.com,phishing
email-16,Password Expiry Notice,it-support@securemail.com,phishing
email-17,Monthly Report,admin@company.com,legitimate
email-18,Order Delivered,sales@shop.com,legitimate
email-19,Team Meeting Reminder,manager@company.com,legitimate
email-20,BVN Update Required,noreply@fakebank.com,phishing
email-21,Salary Payment Notification,hr@company.com,legitimate
email-22,Congratulations Winner!,promo@lottery-ng.com,phishing
email-23,Account suspended alert,support@bank-secure.com,phishing
email-24,Account suspended alert,support@bank-secure.com,phishing
email-25,Congratulations Winner!,promo@lottery-ng.com,phishing
email-26,Team Meeting Reminder,manager@company.com,legitimate
email-27,BVN Update Required,noreply@fakebank.com,phishing
email-28,Password Expiry Notice,it-support@securemail.com,phishing
email-29,BVN Update Required,noreply@fakebank.com,phishing
email-30,Team Meeting Reminder,manager@company.com,legitimate
email-31,Account suspended alert,support@bank-secure.com,phishing
email-32,BVN Update Required,noreply@fakebank.com,phishing
email-33,Order Delivered,sales@shop.com,legitimate
email-34,Password Expiry Notice,it-support@securemail.com,phishing
email-35,Salary Payment Notification,hr@company.com,legitimate
email-36,Salary Payment Notification,hr@company.com,legitimate
email-37,Salary Payment Notification,hr@company.com,legitimate
email-38,Account suspended alert,support@bank-secure.com,phishing
email-39,Monthly Report,admin@company.com,legitimate
email-40,Order Delivered,sales@shop.com,legitimate
email-41,Account suspended alert,support@bank-secure.com,phishing
email-42,Congratulations Winner!,promo@lottery-ng.com,phishing
email-43,BVN Update Required,noreply@fakebank.com,phishing
email-44,Monthly Report,admin@company.com,legitimate
email-45,Team Meeting Reminder,manager@company.com,legitimate
email-46,Congratulations Winner!,promo@lottery-ng.com,phishing
email-47,Congratulations Winner!,promo@lottery-ng.com,phishing
email-48,Salary Payment Notification,hr@company.com,legitimate
email-49,BVN Update Required,noreply@fakebank.com,phishing
email-50,Team Meeting Reminder,manager@company.com,legitimate
email-51,Order Delivered,sales@shop.com,legitimate
email-52,Salary Payment Notification,hr@company.com,legitimate
email-53,Account suspended alert,support@bank-secure.com,phishing
email-54,Password Expiry Notice,it-support@securemail.com,phishing
email-55,Salary Payment Notification,hr@company.com,legitimate
email-56,Team Meeting Reminder,manager@company.com,legitimate
email-57,Order Delivered,sales@shop.com,legitimate
email-58,Password Expiry Notice,it-support@securemail.com,phishing
email-59,Order Delivered,sales@shop.com,legitimate
email-60,Team Meeting Reminder,manager@company.com,legitimate
email-61,Salary Payment Notification,hr@company.com,legitimate
email-62,Congratulations Winner!,promo@lottery-ng.com,phishing
email-63,Congratulations Winner!,promo@lottery-ng.com,phishing
email-64,Congratulations Winner!,promo@lottery-ng.com,phishing
email-65,BVN Update Required,noreply@fakebank.com,phishing
email-66,BVN Update Required,noreply@fakebank.com,phishing
email-67,Monthly Report,admin@company.com,legitimate
email-68,Account suspended alert,support@bank-secure.com,phishing
email-69,Account suspended alert,support@bank-secure.com,phishing
email-70,Account suspended alert,support@bank-secure.com,phishing
email-71,Monthly Report,admin@company.com,legitimate
email-72,Team Meeting Reminder,manager@company.com,legitimate
email-73,Team Meeting Reminder,manager@company.com,legitimate
email-74,Monthly Report,admin@company.com,legitimate
email-75,Congratulations Winner!,promo@lottery-ng.com,phishing
email-76,Congratulations Winner!,promo@lottery-ng.com,phishing
email-77,Password Expiry Notice,it-support@securemail.com,phishing
email-78,Team Meeting Reminder,manager@company.com,legitimate
email-79,Password Expiry Notice,it-support@securemail.com,phishing
email-80,BVN Update Required,noreply@fakebank.com,phishing
email-81,Password Expiry Notice,it-support@securemail.com,phishing
email-82,BVN Update Required,noreply@fakebank.com,phishing
email-83,Monthly Report,admin@company.com,legitimate
email-84,Password Expiry Notice,it-support@securemail.com,phishing
email-85,Order Delivered,sales@shop.com,legitimate
email-86,BVN Update Required,noreply@fakebank.com,phishing
email-87,Account suspended alert,support@bank-secure.com,phishing
email-88,BVN Update Required,noreply@fakebank.com,phishing
email-89,Account suspended alert,support@bank-secure.com,phishing
email-90,BVN Update Required,noreply@fakebank.com,phishing
email-91,Team Meeting Reminder,manager@company.com,legitimate
email-92,Congratulations Winner!,promo@lottery-ng.com,phishing
email-93,BVN Update Required,noreply@fakebank.com,phishing
email-94,Order Delivered,sales@shop.com,legitimate
email-95,Monthly Report,admin@company.com,legitimate
email-96,Password Expiry Notice,it-support@securemail.com,phishing
email-97,BVN Update Required,noreply@fakebank.com,phishing
email-98,Order Delivered,sales@shop.com,legitimate
email-99,BVN Update Required,noreply@fakebank.com,phishing
email-100,Team Meeting Reminder,manager@company.com,legitimate
email-101,Monthly Report,admin@company.com,legitimate
email-102,Password Expiry Notice,it-support@securemail.com,phishing
email-103,Password Expiry Notice,it-support@securemail.com,phishing
email-104,Salary Payment Notification,hr@company.com,legitimate
email-105,Account suspended alert,support@bank-secure.com,phishing
email-106,Order Delivered,sales@shop.com,legitimate
email-107,Monthly Report,admin@company.com,legitimate
email-108,Account suspended alert,support@bank-secure.com,phishing
email-109,Password Expiry Notice,it-support@securemail.com,phishing
email-110,Password Expiry Notice,it-support@securemail.com,phishing
email-111,Order Delivered,sales@shop.com,legitimate
email-112,Password Expiry Notice,it-support@securemail.com,phishing
email-113,Account suspended alert,support@bank-secure.com,phishing
email-114,BVN Update Required,noreply@fakebank.com,phishing
email-115,Order Delivered,sales@shop.com,legitimate
email-116,BVN Update Required,noreply@fakebank.com,phishing
email-117,Congratulations Winner!,promo@lottery-ng.com,phishing
email-118,Account suspended alert,support@bank-secure.com,phishing
email-119,Account suspended alert,support@bank-secure.com,phishing
email-120,BVN Update Required,noreply@fakebank.com,phishing
email-121,Password Expiry Notice,it-support@securemail.com,phishing
email-122,Password Expiry Notice,it-support@securemail.com,phishing
email-123,BVN Update Required,noreply@fakebank.com,phishing
email-124,Congratulations Winner!,promo@lottery-ng.com,phishing
email-125,Congratulations Winner!,promo@lottery-ng.com,phishing
email-126,Order Delivered,sales@shop.com,legitimate
email-127,Congratulations Winner!,promo@lottery-ng.com,phishing
email-128,Salary Payment Notification,hr@company.com,legitimate
email-129,Salary Payment Notification,hr@company.com,legitimate
email-130,Team Meeting Reminder,manager@company.com,legitimate
email-131,Order Delivered,sales@shop.com,legitimate
email-132,Order Delivered,sales@shop.com,legitimate
email-133,Account suspended alert,support@bank-secure.com,phishing
email-134,Congratulations Winner!,promo@lottery-ng.com,phishing
email-135,Congratulations Winner!,promo@lottery-ng.com,phishing
email-136,Monthly Report,admin@company.com,legitimate
email-137,Team Meeting Reminder,manager@company.com,legitimate
email-138,BVN Update Required,noreply@fakebank.com,phishing
email-139,Password Expiry Notice,it-support@securemail.com,phishing
email-140,Account suspended alert,support@bank-secure.com,phishing
email-141,Monthly Report,admin@company.com,legitimate
email-142,BVN Update Required,noreply@fakebank.com,phishing
email-143,BVN Update Required,noreply@fakebank.com,phishing
email-144,Salary Payment Notification,hr@company.com,legitimate
email-145,BVN Update Required,noreply@fakebank.com,phishing
email-146,Account suspended alert,support@bank-secure.com,phishing
email-147,Team Meeting Reminder,manager@company.com,legitimate
email-148,Account suspended alert,support@bank-secure.com,phishing
email-149,Salary Payment Notification,hr@company.com,legitimate
email-150,Team Meeting Reminder,manager@company.com,legitimate
email-151,Salary Payment Notification,hr@company.com,legitimate
email-152,BVN Update Required,noreply@fakebank.com,phishing
email-153,Account suspended alert,support@bank-secure.com,phishing
email-154,Monthly Report,admin@company.com,legitimate
email-155,Salary Payment Notification,hr@company.com,legitimate
email-156,Account suspended alert,support@bank-secure.com,phishing
email-157,Order Delivered,sales@shop.com,legitimate
email-158,Salary Payment Notification,hr@company.com,legitimate
email-159,Order Delivered,sales@shop.com,legitimate
email-160,Congratulations Winner!,promo@lottery-ng.com,phishing
email-161,Password Expiry Notice,it-support@securemail.com,phishing
email-162,Order Delivered,sales@shop.com,legitimate
email-163,Salary Payment Notification,hr@company.com,legitimate
email-164,Team Meeting Reminder,manager@company.com,legitimate
email-165,BVN Update Required,noreply@fakebank.com,phishing
email-166,Team Meeting Reminder,manager@company.com,legitimate
email-167,Team Meeting Reminder,manager@company.com,legitimate
email-168,Team Meeting Reminder,manager@company.com,legitimate
email-169,BVN Update Required,noreply@fakebank.com,phishing
email-170,Password Expiry Notice,it-support@securemail.com,phishing
email-171,Team Meeting Reminder,manager@company.com,legitimate
email-172,Team Meeting Reminder,manager@company.com,legitimate
email-173,Account suspended alert,support@bank-secure.com,phishing
email-174,BVN Update Required,noreply@fakebank.com,phishing
email-175,Order Delivered,sales@shop.com,legitimate
email-176,BVN Update Required,noreply@fakebank.com,phishing
